250, 94, 0, 0
250, 98, 1, 0
504, 99, 0, 0
504, 102, 1, 0
761, 43, 0, 0
761, 48, 1, 0
1012, 30, 0, 0
1012, 32, 1, 0
1263, 28, 0, 0
1263, 32, 1, 0
1515, 65, 0, 0
1515, 59, 1, 0
1766, 38, 0, 0
1766, 44, 1, 0
2017, 29, 0, 0
2017, 30, 1, 0
2267, 30, 0, 0
2267, 33, 1, 0
2519, 29, 0, 0
2519, 32, 1, 0
2770, 28, 0, 0
2770, 31, 1, 0
3021, 28, 0, 0
3021, 32, 1, 0
3271, 25, 0, 0
3271, 33, 1, 0
3524, 27, 0, 0
3524, 30, 1, 0
3778, 75, 0, 0
3778, 89, 1, 0
4029, 31, 0, 0
4029, 29, 1, 0
4280, 28, 0, 0
4280, 32, 1, 0
4531, 40, 0, 0
4531, 63, 1, 0
4782, 104, 0, 0
4782, 106, 1, 0
5034, 104, 0, 0
5034, 651, 1, 0
5284, 100, 0, 0
5284, 106, 1, 0
5536, 79, 0, 0
5536, 85, 1, 0
5788, 102, 0, 0
5788, 108, 1, 0
6039, 108, 0, 0
6039, 107, 1, 0
6290, 105, 0, 0
6290, 106, 1, 0
6541, 73, 0, 0
6541, 73, 1, 0
6792, 96, 0, 0
6792, 99, 1, 0
7047, 31, 0, 0
7047, 37, 1, 0
7298, 28, 0, 0
7298, 32, 1, 0
7549, 26, 0, 0
7549, 27, 1, 0
7809, 30, 0, 0
7809, 35, 1, 0
8070, 28, 0, 0
8070, 30, 1, 0
8321, 28, 0, 0
8321, 31, 1, 0
8574, 30, 0, 0
8574, 31, 1, 0
8834, 59, 0, 0
8834, 64, 1, 0
9086, 99, 0, 0
9086, 102, 1, 0
9337, 80, 0, 0
9337, 91, 1, 0
9589, 98, 0, 0
9589, 112, 1, 0
9846, 85, 0, 0
9846, 100, 1, 0
10098, 73, 0, 0
10098, 896, 1, 0
10357, 98, 0, 0
10357, 111, 1, 0
10608, 38, 0, 0
10608, 34, 1, 0
10859, 31, 0, 0
10859, 31, 1, 0
11111, 30, 0, 0
11111, 32, 1, 0
11362, 27, 0, 0
11362, 32, 1, 0
11613, 27, 0, 0
11613, 32, 1, 0
11864, 27, 0, 0
11864, 33, 1, 0
12116, 28, 0, 0
12116, 31, 1, 0
12367, 30, 0, 0
12367, 31, 1, 0
12619, 27, 0, 0
12619, 32, 1, 0
12870, 68, 0, 0
12870, 69, 1, 0
13122, 99, 0, 0
13122, 109, 1, 0
13373, 56, 0, 0
13373, 68, 1, 0
13624, 29, 0, 0
13624, 32, 1, 0
13879, 24, 0, 0
13879, 23, 1, 0
14131, 67, 0, 0
14131, 59, 1, 0
14382, 82, 0, 0
14382, 90, 1, 0
14634, 84, 0, 0
14634, 91, 1, 0
14893, 91, 0, 0
14893, 90, 1, 0
15195, 251, 0, 0
15195, 96, 1, 0
15446, 92, 0, 0
15446, 96, 1, 0
15698, 89, 0, 0
15698, 99, 1, 0
15950, 88, 0, 0
15950, 97, 1, 0
16202, 86, 0, 0
16202, 99, 1, 0
16453, 81, 0, 0
16453, 99, 1, 0
16706, 61, 0, 0
16706, 64, 1, 0
16957, 26, 0, 0
16957, 28, 1, 0
17209, 30, 0, 0
17209, 26, 1, 0
17461, 59, 0, 0
17461, 59, 1, 0
17773, 89, 0, 0
17773, 104, 1, 0
18024, 85, 0, 0
18024, 96, 1, 0
18276, 80, 0, 0
18276, 94, 1, 0
18528, 94, 0, 0
18528, 100, 1, 0
18779, 86, 0, 0
18779, 93, 1, 0
19032, 96, 0, 0
19032, 97, 1, 0
19293, 92, 0, 0
19293, 99, 1, 0
19549, 93, 0, 0
19549, 97, 1, 0
19801, 93, 0, 0
19801, 92, 1, 0
20063, 71, 0, 0
20063, 88, 1, 0
20313, 88, 0, 0
20313, 97, 1, 0
20567, 80, 0, 0
20567, 101, 1, 0
20818, 78, 0, 0
20818, 96, 1, 0
21070, 90, 0, 0
21070, 97, 1, 0
21322, 92, 0, 0
21322, 92, 1, 0
21573, 87, 0, 0
21573, 100, 1, 0
21827, 75, 0, 0
21827, 78, 1, 0
22078, 69, 0, 0
22078, 78, 1, 0
22329, 67, 0, 0
22329, 74, 1, 0
22579, 73, 0, 0
22579, 85, 1, 0
22829, 88, 0, 0
22829, 97, 1, 0
23080, 90, 0, 0
23080, 102, 1, 0
23331, 95, 0, 0
23331, 102, 1, 0
23582, 89, 0, 0
23582, 101, 1, 0
23841, 89, 0, 0
23841, 100, 1, 0
24092, 88, 0, 0
24092, 98, 1, 0
24343, 90, 0, 0
24343, 97, 1, 0
24594, 86, 0, 0
24594, 93, 1, 0
24845, 87, 0, 0
24845, 98, 1, 0
25100, 88, 0, 0
25100, 528, 1, 0
25351, 91, 0, 0
25351, 101, 1, 0
25602, 91, 0, 0
25602, 100, 1, 0
25853, 58, 0, 0
25853, 66, 1, 0
26105, 74, 0, 0
26105, 83, 1, 0
26357, 92, 0, 0
26357, 88, 1, 0
26609, 45, 0, 0
26609, 41, 1, 0
26859, 27, 0, 0
26859, 31, 1, 0
27110, 35, 0, 0
27110, 35, 1, 0
27361, 87, 0, 0
27361, 99, 1, 0
27613, 91, 0, 0
27613, 99, 1, 0
27864, 79, 0, 0
27864, 82, 1, 0
28115, 36, 0, 0
28115, 32, 1, 0
28366, 75, 0, 0
28366, 83, 1, 0
28620, 64, 0, 0
28620, 70, 1, 0
28871, 93, 0, 0
28871, 97, 1, 0
29123, 103, 0, 0
29123, 91, 1, 0
29376, 70, 0, 0
29376, 88, 1, 0
29627, 83, 0, 0
29627, 93, 1, 0
29877, 76, 0, 0
29877, 77, 1, 0
30128, 200, 0, 0
30128, 82, 1, 0
30379, 92, 0, 0
30379, 101, 1, 0
30630, 91, 0, 0
30630, 103, 1, 0
30882, 91, 0, 0
30882, 110, 1, 0
31134, 90, 0, 0
31134, 101, 1, 0
31386, 90, 0, 0
31386, 97, 1, 0
31638, 92, 0, 0
31638, 98, 1, 0
31892, 92, 0, 0
31892, 101, 1, 0
32143, 91, 0, 0
32143, 92, 1, 0
32396, 88, 0, 0
32396, 94, 1, 0
32647, 46, 0, 0
32647, 37, 1, 0
32904, 27, 0, 0
32904, 31, 1, 0
33154, 26, 0, 0
33154, 28, 1, 0
33405, 29, 0, 0
33405, 30, 1, 0
33657, 30, 0, 0
33657, 32, 1, 0
33908, 25, 0, 0
33908, 31, 1, 0
34159, 27, 0, 0
34159, 27, 1, 0
34410, 29, 0, 0
34410, 30, 1, 0
34664, 26, 0, 0
34664, 28, 1, 0
34914, 27, 0, 0
34914, 27, 1, 0
35165, 111, 0, 0
35165, 31, 1, 0
35415, 31, 0, 0
35415, 34, 1, 0
35665, 78, 0, 0
35665, 77, 1, 0
35915, 92, 0, 0
35915, 99, 1, 0
36165, 92, 0, 0
36165, 96, 1, 0
36415, 56, 0, 0
36415, 65, 1, 0
36671, 43, 0, 0
36671, 43, 1, 0
36922, 36, 0, 0
36922, 35, 1, 0
37173, 64, 0, 0
37173, 75, 1, 0
37424, 73, 0, 0
37424, 81, 1, 0
37686, 80, 0, 0
37686, 91, 1, 0
37946, 80, 0, 0
37946, 91, 1, 0
38227, 27, 0, 0
38227, 31, 1, 0
38480, 27, 0, 0
38480, 31, 1, 0
38739, 38, 0, 0
38739, 34, 1, 0
38991, 50, 0, 0
38991, 56, 1, 0
39269, 29, 0, 0
39269, 32, 1, 0
39519, 31, 0, 0
39519, 38, 1, 0
39770, 46, 0, 0
39770, 49, 1, 0
40022, 277, 0, 0
40022, 59, 1, 0
40273, 84, 0, 0
40273, 92, 1, 0
40524, 87, 0, 0
40524, 107, 1, 0
40776, 87, 0, 0
40776, 95, 1, 0
41027, 55, 0, 0
41027, 53, 1, 0
41278, 49, 0, 0
41278, 65, 1, 0
41529, 76, 0, 0
41529, 86, 1, 0
41781, 83, 0, 0
41781, 93, 1, 0
42046, 51, 0, 0
42046, 51, 1, 0
42297, 27, 0, 0
42297, 28, 1, 0
42548, 27, 0, 0
42548, 29, 1, 0
42800, 57, 0, 0
42800, 56, 1, 0
43057, 34, 0, 0
43057, 39, 1, 0
43311, 50, 0, 0
43311, 63, 1, 0
43563, 26, 0, 0
43563, 25, 1, 0
43815, 28, 0, 0
43815, 34, 1, 0
44065, 30, 0, 0
44065, 39, 1, 0
44316, 27, 0, 0
44316, 30, 1, 0
44576, 44, 0, 0
44576, 53, 1, 0
44827, 30, 0, 0
44827, 33, 1, 0
45078, 316, 0, 0
45078, 51, 1, 0
45330, 29, 0, 0
45330, 30, 1, 0
45581, 34, 0, 0
45581, 36, 1, 0
45832, 27, 0, 0
45832, 28, 1, 0
46084, 27, 0, 0
46084, 30, 1, 0
46335, 34, 0, 0
46335, 30, 1, 0
46592, 28, 0, 0
46592, 31, 1, 0
46843, 28, 0, 0
46843, 32, 1, 0
47094, 30, 0, 0
47094, 33, 1, 0
47346, 29, 0, 0
47346, 29, 1, 0
47597, 34, 0, 0
47597, 32, 1, 0
47848, 30, 0, 0
47848, 31, 1, 0
48108, 29, 0, 0
48108, 32, 1, 0
48363, 26, 0, 0
48363, 31, 1, 0
48614, 41, 0, 0
48614, 32, 1, 0
48864, 31, 0, 0
48864, 35, 1, 0
49115, 27, 0, 0
49115, 32, 1, 0
49366, 30, 0, 0
49366, 32, 1, 0
49617, 29, 0, 0
49617, 32, 1, 0
49869, 26, 0, 0
49869, 29, 1, 0
50129, 275, 0, 0
50129, 26, 1, 0
50379, 26, 0, 0
50379, 25, 1, 0
50637, 27, 0, 0
50637, 29, 1, 0
50887, 25, 0, 0
50887, 27, 1, 0
51138, 26, 0, 0
51138, 29, 1, 0
51388, 25, 0, 0
51388, 28, 1, 0
51638, 27, 0, 0
51638, 30, 1, 0
51889, 26, 0, 0
51889, 29, 1, 0
52140, 29, 0, 0
52140, 31, 1, 0
52392, 27, 0, 0
52392, 32, 1, 0
52642, 66, 0, 0
52642, 76, 1, 0
52894, 88, 0, 0
52894, 88, 1, 0
53144, 88, 0, 0
53144, 98, 1, 0
53396, 88, 0, 0
53396, 92, 1, 0
53647, 83, 0, 0
53647, 95, 1, 0
53899, 64, 0, 0
53899, 78, 1, 0
54149, 67, 0, 0
54149, 62, 1, 0
54405, 85, 0, 0
54405, 95, 1, 0
54672, 81, 0, 0
54672, 76, 1, 0
54924, 27, 0, 0
54924, 28, 1, 0
55174, 474, 0, 0
55174, 31, 1, 0
55434, 81, 0, 0
55434, 77, 1, 0
55686, 94, 0, 0
55686, 101, 1, 0
55936, 83, 0, 0
55936, 99, 1, 0
56197, 67, 0, 0
